Trial_id,Probe,Target,word2vec,pcelex,tcelex,plog10,tlog10
3,cottage,thigh,-0.029097307,31.01,12.68,1.51,1.14
71,army,crag,0.149129788,107.99,2.29,2.04,0.52
63,mop,skin,0.135836061,4.08,90.34,0.71,1.96
171,thread,stitch,0.41282094,11.06,1.51,1.08,0.4
203,garden,flower,0.594903923,111.4,27.71,2.05,1.46
31,canyon,elf,0.081218627,8.32,0.34,0.97,0.13
163,bonus,extra,0.384485322,8.99,81.4,1,1.92
59,vinegar,bone,0.129882703,8.66,27.26,0.98,1.45
83,forge,blacksmith,0.158932514,5.53,1.68,0.81,0.43
167,monk,abbey,0.402448213,3.91,9.83,0.69,1.03
179,theatre,film,0.455351868,0,88.16,0,1.95
183,tulip,vase,0.471478518,0.78,3.97,0.25,0.7
175,court,lawyer,0.42873253,126.98,25.92,2.11,1.43
107,salt,jellyfish,0.227924671,45.03,1.79,1.66,0.45
87,tank,oxygen,0.170241257,20.34,22.79,1.33,1.38
143,web,spider,0.325861187,5.81,4.08,0.83,0.71
159,apron,serviette,0.369623922,7.32,0,0.92,0
91,coaster,bowl,0.181359849,0,29.27,0,1.48
67,thunder,coast,0.14532107,10.95,48.1,1.08,1.69
135,rocket ,space,0.296873417,8.1,126.2,0.96,2.1
103,barber,shears,0.214867187,6.87,2.4,0.9,0.53
75,newt,lightning,0.151529322,0.61,14.13,0.21,1.18
11,javelin,kettle,0.020626626,0.34,11.12,0.13,1.08
127,goggles,towel,0.281727525,2.74,15.53,0.57,1.22
195,pulpit,preacher,0.533269436,4.19,3.24,0.72,0.63
155,flask,gin,0.353844384,4.25,15.25,0.72,1.21
191,dummy,infant,0.497330387,0,20.78,0,1.34
15,syrup,ankle,0.041178138,6.31,10.34,0.86,1.05
35,vault,ewe,0.086026957,3.24,1.23,0.63,0.35
43,stork,roof,0.101406354,0.73,46.42,0.24,1.68
207,volcano ,lava,0.676769292,3.46,3.52,0.65,0.66
27,roach,fat,0.066156654,6.37,86.03,0.87,1.94
23,wool,album,0.058879896,21.45,5.64,1.35,0.82
119,sink,filter,0.26595011,26.2,3.8,1.43,0.68
147,python,tree,0.334664181,1.12,72.23,0.33,1.86
115,lake,oar,0.256857975,40.11,0.39,1.61,0.14
199,patient,hospital,0.543404109,45.87,105.25,1.67,2.03
131,lager,lime,0.288207104,1.68,8.49,0.43,0.98
7,dove,trainer,3.93e-05,2.96,3.41,0.6,0.64
47,bracelet,flea,0.109759561,3.63,1.68,0.67,0.43
187,cactus,desert,0.483561788,2.12,38.77,0.49,1.6
99,curb,streetlight,0.210074331,6.03,0,0.85,0
95,bird,gun,0.187489929,42.01,63.58,1.63,1.81
139,toilet,sponge,0.310035089,23.18,8.1,1.38,0.96
19,seagull,keyboard,0.050153906,0.5,2.63,0.18,0.56
55,arrow,pineapple,0.120589934,8.1,2.46,0.96,0.54
111,robot,wires,0.249669152,3.74,9.72,0.68,1.03
123,receipt,bag,0.274555783,6.82,62.63,0.89,1.8
79,juice,sand,0.155511373,20.39,54.25,1.33,1.74
39,campervan,graffiti,0.096591111,0,2.46,0,0.54
151,cocktail,bar,0.33970425,8.21,67.88,0.96,1.84
51,circus,beard,0.115963672,14.36,22.18,1.19,1.37
